Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
2828.0358,H5N6F3Gm1,Bisected tri-antennary / Tetra-antennary,5,6,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2828.0358,H6N6F2Sm1,Bisected tri-antennary / Tetra-antennary,6,6,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2829.9787,H6N6S1G1,Bisected tri-antennary / Tetra-antennary,6,6,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2830.0151,H6N6F2Ga1,Bisected tri-antennary / Tetra-antennary,6,6,2,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2830.0151,H7N6F1Sa1,Bisected tri-antennary / Tetra-antennary,7,6,1,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2830.9991,H6N6F2G1,Bisected tri-antennary / Tetra-antennary,6,6,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2830.9991,H7N6F1S1,Bisected tri-antennary / Tetra-antennary,7,6,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2832.0195,H7N6F3,Bisected tri-antennary / Tetra-antennary,7,6,3,n/a (no sialic acid),[M+Na]+,Neutral
2835.9658,H5N6F1S1G1Na1,Bisected tri-antennary / Tetra-antennary,5,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2835.9658,H6N6S2Na1,Bisected tri-antennary / Tetra-antennary,6,6,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2836.9861,H5N6F3G1Na1,Bisected tri-antennary / Tetra-antennary,5,6,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2836.9861,H6N6F2S1Na1,Bisected tri-antennary / Tetra-antennary,6,6,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2839.0518,H4N7F3Sa1,Bisected tetra-antennary / Penta-antennary,4,7,3,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2840.0358,H4N7F3S1,Bisected tetra-antennary / Penta-antennary,4,7,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2840.0471,H5N6F1Sm1Gm1,Bisected tri-antennary / Tetra-antennary,5,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2840.0471,H6N6Sm2,Bisected tri-antennary / Tetra-antennary,6,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2840.0471,H5N6F1Sd1Ga1,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2840.0471,H5N6F1Sa1Gd1,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2840.0471,H6N6Sa1Sd1,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2841.9528,H5N6F1S2Na2,Bisected tri-antennary / Tetra-antennary,5,6,1,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2842.0515,H5N6F3Gd1,Bisected tri-antennary / Tetra-antennary,5,6,3,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2842.0515,H6N6F2Sd1,Bisected tri-antennary / Tetra-antennary,6,6,2,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2844.0307,H6N6F2Gm1,Bisected tri-antennary / Tetra-antennary,6,6,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2844.0307,H7N6F1Sm1,Bisected tri-antennary / Tetra-antennary,7,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2846.01,H7N6F1Ga1,Bisected tri-antennary / Tetra-antennary,7,6,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2846.994,H7N6F1G1,Bisected tri-antennary / Tetra-antennary,7,6,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2851.9607,H6N6S1G1Na1,Bisected tri-antennary / Tetra-antennary,6,6,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2852.0835,H5N6F1Sd2,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2852.9811,H6N6F2G1Na1,Bisected tri-antennary / Tetra-antennary,6,6,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
